Name,Tagline,Technologies,Topics
SPDX,An open ISO standard for SBOMs,python - java - json - go - rdf,compliance - licensing - data - vulnerabilities
Ste||ar group,Shaping a Scalable Future,c++ - hpc,library - optimization - parallel algorithms - hpx - application
strace,Linux syscall tracer,c - shell - make - autotools - gawk,debugging - tracing - diagnostic
Submitty,Homework Autograding and Course Management Tools,python - postgresql - javascript - c++ - php,education - visualization - web - privacy/security - communication
Sugar Labs,Learning software for children,python - gtk - typescript - javascipt,education - games - desktop
Swift,Fast - safe - and expressive programming language,c++ - cmake - swift,compilers - cross-platform - Packages - Server development - Standard Libraries
SymPy,SymPy is a Python library for symbolic mathematics,python - numpy - jupyter,mathematics - physics - symbolic mathematics
Synfig,Open-source 2D animation software,python - c++ - gtk - gtkmm,2d/3d graphics - animation - vector graphics
syslog-ng,Enhanced log daemon - w/ wide range of I/O methods,c - python - sql - elasticsearch - kafka,cloud - data processing pipeline - reliable log transfer - logging - high-performance data processing
Tarantool,Lighting fast in-memory DBMS with JIT onboard,c - python - lua - c++ - sql,sql - In-memory - JIT - IMDG - NoSQL Database
TARDIS RT Collaboration,Exploring supernovae made easy,python - numba - numpy - jupyter - pandas,visualization - big data - simulation - astrophysics
TensorFlow,TensorFlow is a ML framework for everyone.,machine learning - tensorflow - ai - Jax - keras,education - research - machine learning
The ENIGMA Team,A free rapid game development environment.,opengl - c++ - qt5,graphics - game development - compiler - programming - game design
The FreeBSD Project,FreeBSD: An OS for servers to embedded systems,c - llvm - assembly - make - POSIX shell,virtualization - operating system - Embedded System
The Honeynet Project,Honeypots and Threat Intelligence R&D,python - javascript - django - go - docker,honeypots - malware analysis - Threat Intelligence
The JPF team,JPF is a special JVM for software verification,android - java - distributed systems - jvm - smt solvers,model checking - symbolic execution - verification of concurrent systems - program analysis - test input generation
The Julia Language,A fresh approach to technical computing,machine learning - julia - data science - gui - models,math - machine learning - science - data science - graphs
The Libreswan Project,Encrypting the Internet with IKE / IPsec,c - python - shell - RFCs,vpn - ipsec - ikev2
The Linux Foundation,Non-profit consortium fostering growth of Linux,c - linux - c++ - cups - ipp,kernel - automotive - printing - iio - zephyr
The Mifos Initiative,End Poverty One Line of Code at a Time,android - java - kotlin - spring - angular,cloud - ai - fintech - financial inclusion - mobile banking
The NetBSD Foundation,Of course it runs NetBSD,c - shell script - make - unix - bsd,kernel - packaging - userland - unix - bsd
The ns-3 Network Simulator Project,ns-3 is a simulation tool for computer networks.,python - django - c++,computer networking - network simulation
The Palisadoes Foundation,Transforming non-profit organizations in the cloud,mongodb - node.js - flutter - graphql - typescript,web - api - database - cloud - mobile
The Tor Project,Defend yourself against tracking and surveillance.,c - python - rust,security - privacy - anti-censorship - Human Rights - Surveillance
TianoCore,Modern - open source - UEFI BIOS firmware,c - python - rust - golang - uefi,firmware - uefi - edk2 - acpi - BIOS
Unikraft,Unikraft is a fast and secure unikernel SDK,c - python - xen - kvm - assembly language,virtualization - cloud - software reuse - software configurability
VideoLAN,Open source believers rocking the multimedia world,c - c++ - qt - assembly - video,audio - streaming - video - codecs - media database
Wagtail,The powerful Python CMS for modern websites,python - javascript - django,web - accessibility - cms
Wellcome Sanger Tree of Life,Genome analysis across the whole tree of life,python - javascript - rust - nextflow,genomics - bioinformatics - data analysis - genome assembly
Wikimedia Foundation,Brings free educational content to the world,python - javascript - html - php - css,semantic web - wikipedia - wikimedia - mediawiki - i18n
X.Org Foundation,X Window System and related projects (Mesa - DRI - Wayland - etc.),opengl - vulkan - x11 - wayland - DRM,graphics - drivers
Xfce,Lightweight and flexible linux desktop environment,c - gtk,desktop - customization
XMPP Standards Foundation,XSF develops an open-standard messaging protocol,vala - xmpp - swift - dart - Objective C,instant messaging - chat - WebRTC - Jingle - Real-Time Communication
